time|weight|unit|flag
2024-09-04 15:39:55.749582 |       0 | LG | S
2024-09-04 15:39:56.049406 |       0 | LG | S
2024-09-04 15:39:56.350580 |       0 | LG | S
2024-09-04 15:39:56.649233 |       0 | LG | S
2024-09-04 15:39:56.949637 |       0 | LG | S
2024-09-04 15:39:57.249172 |       0 | LG | S
2024-09-04 15:39:57.549666 |       0 | LG | S
2024-09-04 15:39:57.850035 |       0 | LG | S
2024-09-04 15:39:58.148944 |       0 | LG | S
2024-09-04 15:39:58.449382 |       0 | LG | S
2024-09-04 15:39:58.749149 |       0 | LG | S
2024-09-04 15:39:59.048677 |       0 | LG | S
2024-09-04 15:39:59.349683 |       0 | LG | S
2024-09-04 15:39:59.649216 |       0 | LG | S
2024-09-04 15:39:59.948815 |       0 | LG | S
2024-09-04 15:40:00.248407 |       0 | LG | S
2024-09-04 15:40:00.548975 |       0 | LG | S
2024-09-04 15:40:00.849321 |       0 | LG | S
2024-09-04 15:40:01.151214 |       0 | LG | S
2024-09-04 15:40:01.450355 |       0 | LG | S
2024-09-04 15:40:01.750827 |       0 | LG | S
2024-09-04 15:40:02.051190 |       0 | LG | S
2024-09-04 15:40:02.348977 |       0 | LG | S
2024-09-04 15:40:02.650888 |       0 | LG | S
2024-09-04 15:40:02.950442 |       0 | LG | S
2024-09-04 15:40:03.250776 |       0 | LG | S
2024-09-04 15:40:03.546840 |       0 | LG | S
2024-09-04 15:40:03.850820 |      -1 | LG | M
2024-09-04 15:40:04.151373 |      -2 | LG | M
2024-09-04 15:40:04.450908 |      -2 | LG | M
2024-09-04 15:40:04.751380 |      -3 | LG | M
2024-09-04 15:40:05.050909 |      -4 | LG | M
2024-09-04 15:40:05.350424 |      -5 | LG | M
2024-09-04 15:40:05.650805 |      -6 | LG | M
2024-09-04 15:40:05.950439 |      -7 | LG | M
2024-09-04 15:40:06.251189 |      -8 | LG | M
2024-09-04 15:40:06.551362 |     -10 | LG | M
2024-09-04 15:40:06.851312 |     -11 | LG | M
2024-09-04 15:40:07.150881 |     -13 | LG | M
2024-09-04 15:40:07.452373 |     -14 | LG | M
2024-09-04 15:40:07.752342 |     -15 | LG | M
2024-09-04 15:40:08.052081 |     -16 | LG | M
2024-09-04 15:40:08.351622 |     -18 | LG | M
2024-09-04 15:40:08.651462 |     -19 | LG | M
2024-09-04 15:40:08.951398 |     -20 | LG | M
2024-09-04 15:40:09.251179 |     -21 | LG | M
2024-09-04 15:40:09.550758 |     -22 | LG | M
2024-09-04 15:40:09.851848 |     -23 | LG | M
2024-09-04 15:40:10.151352 |     -24 | LG | M
2024-09-04 15:40:10.451069 |     -24 | LG | M
2024-09-04 15:40:10.750589 |     -25 | LG | M
2024-09-04 15:40:11.050561 |     -26 | LG | M
2024-09-04 15:40:11.350482 |     -27 | LG | M
2024-09-04 15:40:11.650006 |     -27 | LG | M
2024-09-04 15:40:11.951164 |     -28 | LG | M
2024-09-04 15:40:12.250820 |     -29 | LG | M
2024-09-04 15:40:12.550393 |     -30 | LG | M
2024-09-04 15:40:12.850624 |     -31 | LG | M
2024-09-04 15:40:13.151274 |     -31 | LG | M
2024-09-04 15:40:13.450387 |     -32 | LG | M
2024-09-04 15:40:13.750711 |     -33 | LG | M
2024-09-04 15:40:14.049514 |     -34 | LG | M
2024-09-04 15:40:14.350008 |     -35 | LG | M
2024-09-04 15:40:14.650447 |     -36 | LG | M
2024-09-04 15:40:14.950787 |     -38 | LG | M
2024-09-04 15:40:15.249737 |     -39 | LG | M
2024-09-04 15:40:15.550004 |     -40 | LG | M
2024-09-04 15:40:15.849531 |     -41 | LG | M
2024-09-04 15:40:16.150929 |     -42 | LG | M
2024-09-04 15:40:16.450716 |     -44 | LG | M
2024-09-04 15:40:16.750740 |     -45 | LG | M
2024-09-04 15:40:17.050339 |     -46 | LG | M
2024-09-04 15:40:17.349805 |     -47 | LG | M
2024-09-04 15:40:17.649528 |     -48 | LG | M
2024-09-04 15:40:17.949059 |     -48 | LG | M
2024-09-04 15:40:18.250178 |     -49 | LG | M
2024-09-04 15:40:18.549685 |     -49 | LG | M
2024-09-04 15:40:18.849449 |     -49 | LG | M
2024-09-04 15:40:19.149387 |     -50 | LG | M
2024-09-04 15:40:19.450045 |     -51 | LG | M
2024-09-04 15:40:19.748968 |     -52 | LG | M
2024-09-04 15:40:20.048778 |     -55 | LG | M
2024-09-04 15:40:20.348047 |     -60 | LG | M
2024-09-04 15:40:20.649248 |     -61 | LG | M
2024-09-04 15:40:20.948874 |     -61 | LG | M
2024-09-04 15:40:21.248599 |     -62 | LG | M
2024-09-04 15:40:21.548335 |     -61 | LG | M
2024-09-04 15:40:21.848371 |     -59 | LG | M
2024-09-04 15:40:22.148173 |     -54 | LG | M
2024-09-04 15:40:22.447811 |     -49 | LG | M
2024-09-04 15:40:22.748307 |     -45 | LG | M
2024-09-04 15:40:23.048569 |     -44 | LG | M
2024-09-04 15:40:23.347283 |     -49 | LG | M
2024-09-04 15:40:23.647590 |     -58 | LG | M
2024-09-04 15:40:23.947143 |     -62 | LG | M
2024-09-04 15:40:24.248743 |     -61 | LG | M
2024-09-04 15:40:24.548427 |     -59 | LG | M
2024-09-04 15:40:24.848104 |     -52 | LG | M
2024-09-04 15:40:25.147892 |     -48 | LG | M
2024-09-04 15:40:25.448414 |     -49 | LG | M
