time|displacement|delay
2024-09-04 16:20:10.573684 |  0.090 | -0.01667
2024-09-04 16:20:11.187885 |  0.092 |  0.01706
2024-09-04 16:20:12.056373 |  0.090 |  0.00542
2024-09-04 16:20:13.137695 |  0.090 |  0.01643
2024-09-04 16:20:13.381736 |  0.090 | -0.01789
2024-09-04 16:20:14.640613 |  0.090 |  0.02127
2024-09-04 16:20:14.890370 |  0.090 | -0.01365
2024-09-04 16:20:15.127064 |  0.090 | -0.03002
2024-09-04 16:20:15.343850 |  0.090 | -0.03152
2024-09-04 16:20:16.000285 |  0.108 | -0.03370
2024-09-04 16:20:16.205712 |  0.118 | -0.02175
2024-09-04 16:20:16.424088 |  0.130 | -0.02488
2024-09-04 16:20:16.634872 |  0.144 | -0.02046
2024-09-04 16:20:16.851590 |  0.148 | -0.02209
2024-09-04 16:20:17.066467 |  0.154 | -0.01662
2024-09-04 16:20:17.283113 |  0.160 | -0.01759
2024-09-04 16:20:17.498343 |  0.224 | -0.01996
2024-09-04 16:20:17.711586 |  0.288 | -0.01798
2024-09-04 16:20:17.922730 |  0.394 | -0.00897
2024-09-04 16:20:18.139993 |  0.448 | -0.01080
2024-09-04 16:20:18.351974 |  0.438 | -0.01034
2024-09-04 16:20:18.567610 |  0.474 | -0.00777
2024-09-04 16:20:18.784921 |  0.558 | -0.00457
2024-09-04 16:20:18.997594 |  0.516 | -0.00683
2024-09-04 16:20:19.213965 |  0.538 | -0.00323
2024-09-04 16:20:19.431957 |  0.576 | -0.00597
2024-09-04 16:20:19.646071 |  0.626 |  0.00009
2024-09-04 16:20:19.856089 |  0.626 |  0.00184
2024-09-04 16:20:20.076337 |  0.666 |  0.00024
2024-09-04 16:20:20.295850 |  0.710 | -0.00388
2024-09-04 16:20:20.511961 |  0.718 | -0.00263
2024-09-04 16:20:20.729714 |  0.726 |  0.00043
2024-09-04 16:20:20.947597 |  0.712 | -0.00728
2024-09-04 16:20:21.160462 |  0.710 | -0.00550
2024-09-04 16:20:21.373463 |  0.710 |  0.00206
2024-09-04 16:20:21.590213 |  0.718 |  0.00595
2024-09-04 16:20:21.812094 |  0.724 | -0.00051
2024-09-04 16:20:22.030597 |  0.740 | -0.00583
2024-09-04 16:20:22.243712 |  0.754 | -0.00154
2024-09-04 16:20:22.466663 |  0.784 | -0.00617
2024-09-04 16:20:22.676708 |  0.818 | -0.00110
2024-09-04 16:20:22.894213 |  0.858 | -0.00335
2024-09-04 16:20:23.110477 |  0.874 | -0.00420
2024-09-04 16:20:23.331180 |  0.854 | -0.00932
