time|displacement|delay
2024-09-04 15:02:21.897705 |  0.138 |  0.01165
2024-09-04 15:02:22.147845 |  0.136 | -0.02201
2024-09-04 15:02:23.202970 |  0.138 |  0.01743
2024-09-04 15:02:24.754590 |  0.138 | -0.01168
2024-09-04 15:02:25.190362 |  0.136 | -0.01425
2024-09-04 15:02:25.648608 |  0.138 | -0.03322
2024-09-04 15:02:26.072229 |  0.138 | -0.02809
2024-09-04 15:02:26.499512 |  0.138 | -0.01618
2024-09-04 15:02:26.945503 |  0.138 | -0.02770
2024-09-04 15:02:27.393321 |  0.138 | -0.03571
2024-09-04 15:02:27.803257 |  0.138 | -0.00711
2024-09-04 15:02:28.250508 |  0.138 | -0.01999
2024-09-04 15:02:28.694614 |  0.138 | -0.03093
2024-09-04 15:02:29.120865 |  0.136 | -0.02309
2024-09-04 15:02:29.550130 |  0.138 | -0.01835
2024-09-04 15:02:29.984762 |  0.138 | -0.00841
2024-09-04 15:02:30.423878 |  0.130 | -0.01855
2024-09-04 15:02:30.855877 |  0.152 | -0.01367
2024-09-04 15:02:31.289761 |  0.188 | -0.00840
2024-09-04 15:02:31.725630 |  0.226 | -0.01017
2024-09-04 15:02:32.160123 |  0.306 | -0.01091
2024-09-04 15:02:32.593381 |  0.416 | -0.00502
2024-09-04 15:02:33.029156 |  0.466 | -0.00467
2024-09-04 15:02:33.464635 |  0.486 | -0.00590
2024-09-04 15:02:33.899127 |  0.582 | -0.00338
2024-09-04 15:02:34.332762 |  0.610 | -0.00089
2024-09-04 15:02:34.772095 |  0.646 | -0.00320
2024-09-04 15:02:35.198634 |  0.742 |  0.00437
2024-09-04 15:02:35.638008 |  0.772 | -0.00089
2024-09-04 15:02:36.079864 |  0.844 | -0.00392
2024-09-04 15:02:36.505673 |  0.798 | -0.00044
2024-09-04 15:02:36.942295 |  0.872 | -0.00074
2024-09-04 15:02:37.378638 |  0.924 |  0.00003
2024-09-04 15:02:37.815267 |  1.002 | -0.00247
2024-09-04 15:02:38.250773 |  1.140 |  0.00109
2024-09-04 15:02:38.687905 |  1.244 |  0.00293
2024-09-04 15:02:39.125900 |  1.286 | -0.00091
2024-09-04 15:02:39.562276 |  1.388 | -0.00364
2024-09-04 15:02:39.992027 |  1.298 |  0.00085
2024-09-04 15:02:40.429179 |  1.120 | -0.00249
2024-09-04 15:02:40.859533 |  0.922 |  0.00087
2024-09-04 15:02:41.289925 |  0.880 |  0.01000
2024-09-04 15:02:41.732037 |  0.814 |  0.00192
2024-09-04 15:02:42.175639 |  0.724 | -0.00229
2024-09-04 15:02:42.606645 |  0.888 |  0.00564
2024-09-04 15:02:43.047157 |  1.028 | -0.00060
2024-09-04 15:02:43.489135 |  1.178 | -0.00390
2024-09-04 15:02:43.919548 |  1.292 | -0.00044
2024-09-04 15:02:44.355044 |  1.400 | -0.00218
2024-09-04 15:02:44.789667 |  1.494 |  0.00231
2024-09-04 15:02:45.228055 |  1.664 | -0.00206
2024-09-04 15:02:45.654663 |  1.762 |  0.00550
2024-09-04 15:02:46.094921 |  1.844 |  0.00442
2024-09-04 15:02:46.534947 |  1.894 | -0.00168
2024-09-04 15:02:46.971928 |  2.052 | -0.00457
2024-09-04 15:02:47.407172 |  2.102 | -0.00061
2024-09-04 15:02:47.844316 |  2.118 | -0.00365
2024-09-04 15:02:48.279565 |  2.150 | -0.00492
2024-09-04 15:02:48.708968 |  2.186 |  0.00489
2024-09-04 15:02:49.147710 |  2.254 |  0.00240
2024-09-04 15:02:49.587165 |  2.272 | -0.00500
2024-09-04 15:02:50.016338 |  2.176 | -0.00025
2024-09-04 15:02:50.453091 |  2.154 | -0.00322
2024-09-04 15:02:50.893146 |  2.108 | -0.00425
