2024-08-15 15:36:24.859660 | -      1LG
2024-08-15 15:36:25.159902 | -      1LG
2024-08-15 15:36:25.460826 | -      1LG
2024-08-15 15:36:25.761574 | -      1LG
2024-08-15 15:36:26.061285 | -      2LGM
2024-08-15 15:36:26.360833 | -      4LGM
2024-08-15 15:36:26.661014 | -     10LGM
2024-08-15 15:36:26.961323 | -     13LGM
2024-08-15 15:36:27.260974 | -      8LGM
2024-08-15 15:36:27.561347 | -      9LGM
2024-08-15 15:36:27.862581 | -     13LGM
2024-08-15 15:36:28.162985 | -     20LGM
2024-08-15 15:36:28.463141 | -     22LGM
2024-08-15 15:36:28.763737 | -     15LGM
2024-08-15 15:36:29.063956 | -      8LGM
2024-08-15 15:36:29.362913 | -      7LGM
2024-08-15 15:36:29.663536 | -     13LGM
2024-08-15 15:36:29.964306 | -     19LGM
2024-08-15 15:36:30.264889 | -     18LGM
2024-08-15 15:36:30.563575 | -     11LGM
2024-08-15 15:36:30.863215 | -      7LGM
2024-08-15 15:36:31.163617 | -      7LGM
2024-08-15 15:36:31.464863 | -     10LGM
2024-08-15 15:36:31.765488 | -     15LGM
2024-08-15 15:36:32.065819 | -     18LGM
2024-08-15 15:36:32.366787 | -     12LGM
2024-08-15 15:36:32.665067 | -      5LGM
2024-08-15 15:36:32.964542 | -      4LGM
2024-08-15 15:36:33.265339 | -      5LGM
2024-08-15 15:36:33.565813 | -      9LGM
2024-08-15 15:36:33.866274 | -     16LGM
2024-08-15 15:36:34.166640 | -     19LGM
2024-08-15 15:36:34.467070 | -     13LGM
