time|displacement|delay
2024-08-28 16:03:18.985035 |  0.380 | -0.00126
2024-08-28 16:03:19.157288 |  0.380 | -0.02534
2024-08-28 16:03:19.715160 |  0.380 |  0.01104
2024-08-28 16:03:19.910614 |  0.380 | -0.03102
2024-08-28 16:03:20.311660 |  0.380 |  0.01381
2024-08-28 16:03:20.771012 |  0.380 |  0.00018
2024-08-28 16:03:21.223647 |  0.380 | -0.00670
2024-08-28 16:03:21.677478 |  0.380 | -0.00967
2024-08-28 16:03:22.119307 |  0.380 | -0.00568
2024-08-28 16:03:22.564274 |  0.380 | -0.00488
2024-08-28 16:03:23.008160 |  0.514 | -0.00073
2024-08-28 16:03:23.458890 |  0.570 | -0.00442
2024-08-28 16:03:23.907630 |  0.638 | -0.00233
2024-08-28 16:03:24.357155 |  0.694 | -0.00757
2024-08-28 16:03:24.803775 |  0.760 | -0.00714
2024-08-28 16:03:25.248651 |  0.796 | -0.00640
2024-08-28 16:03:25.692760 |  0.836 |  0.00023
2024-08-28 16:03:26.140522 |  0.868 | -0.00187
2024-08-28 16:03:26.589131 |  0.904 | -0.00465
2024-08-28 16:03:27.036238 |  0.924 | -0.00617
2024-08-28 16:03:27.483461 |  0.982 | -0.00251
2024-08-28 16:03:27.918356 |  0.984 |  0.00835
2024-08-28 16:03:28.372001 |  1.080 | -0.00065
2024-08-28 16:03:28.821005 |  1.110 | -0.00264
2024-08-28 16:03:29.273975 |  1.130 | -0.00520
2024-08-28 16:03:29.715251 |  1.154 | -0.00502
2024-08-28 16:03:30.161505 |  1.156 | -0.00252
2024-08-28 16:03:30.608737 |  1.168 | -0.00392
2024-08-28 16:03:31.055244 |  1.206 | -0.00495
2024-08-28 16:03:31.499876 |  1.228 |  0.00093
2024-08-28 16:03:31.948519 |  1.252 | -0.00224
2024-08-28 16:03:32.395499 |  1.262 | -0.00411
2024-08-28 16:03:32.841355 |  1.266 | -0.00423
2024-08-28 16:03:33.286861 |  1.300 | -0.00007
2024-08-28 16:03:33.731115 |  1.328 |  0.00242
2024-08-28 16:03:34.176241 |  1.330 | -0.00082
2024-08-28 16:03:34.623618 |  1.340 |  0.00065
2024-08-28 16:03:35.076843 |  1.370 | -0.00287
2024-08-28 16:03:35.518002 |  1.388 |  0.00248
2024-08-28 16:03:35.966770 |  1.444 | -0.00170
2024-08-28 16:03:36.413610 |  1.488 | -0.00299
2024-08-28 16:03:36.864707 |  1.616 | -0.00232
2024-08-28 16:03:37.305861 |  1.618 |  0.00227
2024-08-28 16:03:37.752600 |  1.622 |  0.00067
2024-08-28 16:03:38.200500 |  1.634 | -0.00132
2024-08-28 16:03:38.642861 |  1.656 |  0.00130
2024-08-28 16:03:39.090100 |  1.662 |  0.00492
2024-08-28 16:03:39.540351 |  1.712 |  0.00052
2024-08-28 16:03:39.988481 |  1.714 | -0.00563
2024-08-28 16:03:40.433088 |  1.730 | -0.00100
