time|weight|unit|flag
2024-08-28 14:37:14.158253 |       0 | LG | S
2024-08-28 14:37:14.457862 |       0 | LG | S
2024-08-28 14:37:14.759002 |       0 | LG | S
2024-08-28 14:37:15.058734 |       0 | LG | S
2024-08-28 14:37:15.358493 |       0 | LG | S
2024-08-28 14:37:15.658956 |       0 | LG | S
2024-08-28 14:37:15.960914 |       0 | LG | S
2024-08-28 14:37:16.259623 |       0 | LG | S
2024-08-28 14:37:16.559251 |       0 | LG | S
2024-08-28 14:37:16.858718 |       0 | LG | S
2024-08-28 14:37:17.159189 |       0 | LG | S
2024-08-28 14:37:17.459779 |       0 | LG | S
2024-08-28 14:37:17.760163 |       0 | LG | S
2024-08-28 14:37:18.059791 |       0 | LG | S
2024-08-28 14:37:18.359379 |       0 | LG | S
2024-08-28 14:37:18.659687 |       0 | LG | S
2024-08-28 14:37:18.963506 |      -2 | LG | M
2024-08-28 14:37:19.263187 |      -9 | LG | M
2024-08-28 14:37:19.562783 |     -78 | LG | M
2024-08-28 14:37:19.864166 |    -126 | LG | M
2024-08-28 14:37:20.165795 |    -137 | LG | M
2024-08-28 14:37:20.465441 |    -137 | LG | M
2024-08-28 14:37:20.765160 |    -136 | LG | M
2024-08-28 14:37:21.065121 |    -108 | LG | M
2024-08-28 14:37:21.363583 |     -66 | LG | M
2024-08-28 14:37:21.663574 |     -55 | LG | M
2024-08-28 14:37:21.964906 |     -55 | LG | M
2024-08-28 14:37:22.264519 |     -56 | LG | M
2024-08-28 14:37:22.564310 |     -68 | LG | M
2024-08-28 14:37:22.864092 |     -88 | LG | M
2024-08-28 14:37:23.164383 |     -94 | LG | M
2024-08-28 14:37:23.466188 |    -105 | LG | M
2024-08-28 14:37:23.765231 |    -128 | LG | M
2024-08-28 14:37:24.066756 |    -153 | LG | M
2024-08-28 14:37:24.367047 |    -177 | LG | M
2024-08-28 14:37:24.665913 |    -194 | LG | M
2024-08-28 14:37:24.965402 |    -212 | LG | M
2024-08-28 14:37:25.267359 |    -234 | LG | M
2024-08-28 14:37:25.565384 |    -259 | LG | M
2024-08-28 14:37:25.867282 |    -277 | LG | M
2024-08-28 14:37:26.166970 |    -288 | LG | M
2024-08-28 14:37:26.466456 |    -296 | LG | M
2024-08-28 14:37:26.766949 |    -305 | LG | M
2024-08-28 14:37:27.067547 |    -314 | LG | M
2024-08-28 14:37:27.366710 |    -316 | LG | M
2024-08-28 14:37:27.668073 |    -317 | LG | M
2024-08-28 14:37:27.966776 |    -322 | LG | M
2024-08-28 14:37:28.267866 |    -337 | LG | M
2024-08-28 14:37:28.567326 |    -340 | LG | M
2024-08-28 14:37:28.866963 |    -340 | LG | M
2024-08-28 14:37:29.169062 |    -341 | LG | M
2024-08-28 14:37:29.468600 |    -350 | LG | M
2024-08-28 14:37:29.768966 |    -355 | LG | M
2024-08-28 14:37:30.069416 |    -357 | LG | M
2024-08-28 14:37:30.369470 |    -369 | LG | M
2024-08-28 14:37:30.668957 |    -372 | LG | M
2024-08-28 14:37:30.969109 |    -376 | LG | M
2024-08-28 14:37:31.269214 |    -389 | LG | M
2024-08-28 14:37:31.569404 |    -392 | LG | M
2024-08-28 14:37:31.867656 |    -392 | LG | M
2024-08-28 14:37:32.168295 |    -404 | LG | M
2024-08-28 14:37:32.469621 |    -419 | LG | M
2024-08-28 14:37:32.769285 |    -420 | LG | M
2024-08-28 14:37:33.069212 |    -421 | LG | M
2024-08-28 14:37:33.368805 |    -443 | LG | M
2024-08-28 14:37:33.670697 |    -453 | LG | M
2024-08-28 14:37:33.970642 |    -452 | LG | M
2024-08-28 14:37:34.270801 |    -456 | LG | M
2024-08-28 14:37:34.571069 |    -463 | LG | M
2024-08-28 14:37:34.870999 |    -464 | LG | M
2024-08-28 14:37:35.171223 |    -467 | LG | M
2024-08-28 14:37:35.471031 |    -481 | LG | M
2024-08-28 14:37:35.770136 |    -483 | LG | M
2024-08-28 14:37:36.071599 |    -488 | LG | M
2024-08-28 14:37:36.370645 |    -504 | LG | M
2024-08-28 14:37:36.670634 |    -505 | LG | M
