time|weight|unit|flag
2024-08-28 15:35:50.925467 |       0 | LG | S
2024-08-28 15:35:51.225315 |       0 | LG | S
2024-08-28 15:35:51.524836 |       0 | LG | S
2024-08-28 15:35:51.826097 |       0 | LG | S
2024-08-28 15:35:52.125840 |       0 | LG | S
2024-08-28 15:35:52.425596 |       0 | LG | S
2024-08-28 15:35:52.725148 |       0 | LG | S
2024-08-28 15:35:53.025581 |       0 | LG | S
2024-08-28 15:35:53.325953 |       0 | LG | S
2024-08-28 15:35:53.625712 |       0 | LG | S
2024-08-28 15:35:53.926241 |       0 | LG | S
2024-08-28 15:35:54.225910 |       0 | LG | S
2024-08-28 15:35:54.526456 |       0 | LG | S
2024-08-28 15:35:54.826174 |       0 | LG | S
2024-08-28 15:35:55.126600 |       0 | LG | S
2024-08-28 15:35:55.426212 |       0 | LG | S
2024-08-28 15:35:55.726615 |       0 | LG | S
2024-08-28 15:35:56.026084 |       0 | LG | S
2024-08-28 15:35:56.326723 |       0 | LG | S
2024-08-28 15:35:56.627066 |       0 | LG | S
2024-08-28 15:35:56.928784 |       0 | LG | S
2024-08-28 15:35:57.229965 |      -1 | LG | M
2024-08-28 15:35:57.529721 |      -5 | LG | M
2024-08-28 15:35:57.830973 |     -11 | LG | M
2024-08-28 15:35:58.129698 |     -70 | LG | M
2024-08-28 15:35:58.431336 |    -100 | LG | M
2024-08-28 15:35:58.730456 |    -104 | LG | M
2024-08-28 15:35:59.031383 |     -99 | LG | M
2024-08-28 15:35:59.330828 |     -86 | LG | M
2024-08-28 15:35:59.631400 |     -76 | LG | M
2024-08-28 15:35:59.930111 |     -74 | LG | M
2024-08-28 15:36:00.230499 |     -68 | LG | M
2024-08-28 15:36:00.530040 |     -52 | LG | M
2024-08-28 15:36:00.831120 |     -39 | LG | M
2024-08-28 15:36:01.130689 |     -30 | LG | M
2024-08-28 15:36:01.430166 |     -21 | LG | M
2024-08-28 15:36:01.730683 |     -15 | LG | M
2024-08-28 15:36:02.031003 |     -14 | LG | M
2024-08-28 15:36:02.331365 |     -18 | LG | M
2024-08-28 15:36:02.631942 |     -23 | LG | M
2024-08-28 15:36:02.930609 |     -27 | LG | M
2024-08-28 15:36:03.230918 |     -29 | LG | M
2024-08-28 15:36:03.531317 |     -32 | LG | M
2024-08-28 15:36:03.830818 |     -36 | LG | M
2024-08-28 15:36:04.132177 |     -39 | LG | M
2024-08-28 15:36:04.432051 |     -44 | LG | M
2024-08-28 15:36:04.730764 |     -50 | LG | M
2024-08-28 15:36:05.031933 |     -56 | LG | M
2024-08-28 15:36:05.331673 |     -61 | LG | M
2024-08-28 15:36:05.631649 |     -67 | LG | M
2024-08-28 15:36:05.931332 |     -73 | LG | M
2024-08-28 15:36:06.231649 |     -77 | LG | M
2024-08-28 15:36:06.532004 |     -79 | LG | M
2024-08-28 15:36:06.832343 |     -80 | LG | M
2024-08-28 15:36:07.132603 |     -81 | LG | M
2024-08-28 15:36:07.432963 |     -84 | LG | M
2024-08-28 15:36:07.731588 |     -88 | LG | M
2024-08-28 15:36:08.032233 |     -92 | LG | M
2024-08-28 15:36:08.331793 |     -96 | LG | M
2024-08-28 15:36:08.633692 |    -100 | LG | M
2024-08-28 15:36:08.932403 |    -104 | LG | M
2024-08-28 15:36:09.233777 |    -107 | LG | M
2024-08-28 15:36:09.532801 |    -109 | LG | M
2024-08-28 15:36:09.834386 |    -110 | LG | M
2024-08-28 15:36:10.134220 |    -112 | LG | M
2024-08-28 15:36:10.434144 |    -118 | LG | M
2024-08-28 15:36:10.733973 |    -125 | LG | M
2024-08-28 15:36:11.032792 |    -129 | LG | M
2024-08-28 15:36:11.334363 |    -133 | LG | M
2024-08-28 15:36:11.634027 |    -137 | LG | M
2024-08-28 15:36:11.933977 |    -143 | LG | M
2024-08-28 15:36:12.233393 |    -145 | LG | M
2024-08-28 15:36:12.535411 |    -146 | LG | M
2024-08-28 15:36:12.835147 |    -147 | LG | M
2024-08-28 15:36:13.134909 |    -149 | LG | M
2024-08-28 15:36:13.434567 |    -152 | LG | M
2024-08-28 15:36:13.734639 |    -156 | LG | M
2024-08-28 15:36:14.034813 |    -163 | LG | M
2024-08-28 15:36:14.335404 |    -166 | LG | M
2024-08-28 15:36:14.633992 |    -170 | LG | M
2024-08-28 15:36:14.935190 |    -173 | LG | M
2024-08-28 15:36:15.233890 |    -176 | LG | M
2024-08-28 15:36:15.535341 |    -182 | LG | M
2024-08-28 15:36:15.834309 |    -184 | LG | M
2024-08-28 15:36:16.135935 |    -185 | LG | M
2024-08-28 15:36:16.435064 |    -186 | LG | M
2024-08-28 15:36:16.736483 |    -187 | LG | M
2024-08-28 15:36:17.035553 |    -187 | LG | M
2024-08-28 15:36:17.334602 |    -188 | LG | M
2024-08-28 15:36:17.636199 |    -189 | LG | M
2024-08-28 15:36:17.935540 |    -190 | LG | M
2024-08-28 15:36:18.235263 |    -190 | LG | M
2024-08-28 15:36:18.535031 |    -190 | LG | S
2024-08-28 15:36:18.835297 |    -190 | LG | S
2024-08-28 15:36:19.131074 |    -190 | LG | M
2024-08-28 15:36:19.435582 |    -197 | LG | M
2024-08-28 15:36:19.735139 |    -199 | LG | M
2024-08-28 15:36:20.036962 |    -199 | LG | M
2024-08-28 15:36:20.336334 |    -201 | LG | M
2024-08-28 15:36:20.634997 |    -202 | LG | M
