time|displacement|delay
2024-08-28 16:07:31.953525 |  0.388 |  0.00182
2024-08-28 16:07:32.109415 |  0.388 | -0.00512
2024-08-28 16:07:32.266270 |  0.388 | -0.01319
2024-08-28 16:07:32.419270 |  0.388 | -0.01742
2024-08-28 16:07:32.572997 |  0.388 | -0.01710
2024-08-28 16:07:32.713780 |  0.388 | -0.00928
2024-08-28 16:07:32.859267 |  0.388 | -0.00567
2024-08-28 16:07:33.008795 |  0.388 | -0.00640
2024-08-28 16:07:33.160035 |  0.388 | -0.00840
2024-08-28 16:07:33.310641 |  0.388 | -0.00732
2024-08-28 16:07:33.460144 |  0.388 | -0.00790
2024-08-28 16:07:33.609893 |  0.388 | -0.00862
2024-08-28 16:07:33.764203 |  0.388 | -0.01292
2024-08-28 16:07:33.907889 |  0.386 | -0.00808
2024-08-28 16:07:34.050388 |  0.386 | -0.00179
2024-08-28 16:07:34.198909 |  0.386 | -0.00156
2024-08-28 16:07:34.350519 |  0.386 | -0.00443
2024-08-28 16:07:34.502386 |  0.386 | -0.00757
2024-08-28 16:07:34.652532 |  0.386 | -0.00894
2024-08-28 16:07:34.800911 |  0.386 | -0.00859
2024-08-28 16:07:34.945135 |  0.386 | -0.00390
2024-08-28 16:07:35.097614 |  0.386 | -0.00269
2024-08-28 16:07:35.242140 |  0.386 |  0.00155
2024-08-28 16:07:35.392506 |  0.386 | -0.00009
2024-08-28 16:07:35.543651 |  0.386 | -0.00247
2024-08-28 16:07:35.695389 |  0.386 | -0.00549
2024-08-28 16:07:35.845759 |  0.386 | -0.00695
2024-08-28 16:07:35.994398 |  0.386 | -0.00701
2024-08-28 16:07:36.142133 |  0.386 | -0.00602
2024-08-28 16:07:36.289723 |  0.386 |  0.00024
2024-08-28 16:07:36.432509 |  0.386 |  0.00623
2024-08-28 16:07:36.583761 |  0.386 |  0.00371
2024-08-28 16:07:36.738254 |  0.386 | -0.00203
2024-08-28 16:07:36.891559 |  0.386 | -0.00657
2024-08-28 16:07:37.041656 |  0.444 | -0.00552
2024-08-28 16:07:37.189385 |  0.510 | -0.00441
2024-08-28 16:07:37.337397 |  0.516 | -0.00098
2024-08-28 16:07:37.485885 |  0.558 | -0.00314
2024-08-28 16:07:37.641220 |  0.580 | -0.00453
2024-08-28 16:07:37.785267 |  0.582 |  0.00117
2024-08-28 16:07:37.933507 |  0.596 |  0.00220
2024-08-28 16:07:38.084752 |  0.604 | -0.00027
2024-08-28 16:07:38.236639 |  0.616 | -0.00327
2024-08-28 16:07:38.387268 |  0.632 | -0.00657
2024-08-28 16:07:38.536146 |  0.644 | -0.00516
2024-08-28 16:07:38.683140 |  0.652 | -0.00340
2024-08-28 16:07:38.835842 |  0.654 | -0.00259
2024-08-28 16:07:38.979133 |  0.658 |  0.00306
2024-08-28 16:07:39.128034 |  0.662 |  0.00298
2024-08-28 16:07:39.279873 |  0.666 | -0.00010
2024-08-28 16:07:39.431769 |  0.668 | -0.00313
2024-08-28 16:07:39.582003 |  0.676 | -0.00405
2024-08-28 16:07:39.730630 |  0.684 | -0.00373
2024-08-28 16:07:39.878633 |  0.688 | -0.00348
2024-08-28 16:07:40.022506 |  0.700 |  0.00191
2024-08-28 16:07:40.175860 |  0.714 |  0.00251
2024-08-28 16:07:40.321775 |  0.726 |  0.00541
2024-08-28 16:07:40.473128 |  0.744 |  0.00135
2024-08-28 16:07:40.626128 |  0.766 | -0.00286
2024-08-28 16:07:40.777128 |  0.792 | -0.00494
2024-08-28 16:07:40.924766 |  0.794 | -0.00279
2024-08-28 16:07:41.072271 |  0.794 | -0.00483
2024-08-28 16:07:41.220752 |  0.838 | -0.00210
2024-08-28 16:07:41.373067 |  0.864 | -0.00053
2024-08-28 16:07:41.516756 |  0.900 |  0.00453
2024-08-28 16:07:41.666263 |  0.934 |  0.00379
2024-08-28 16:07:41.818513 |  0.942 |  0.00176
2024-08-28 16:07:41.970646 |  0.942 | -0.00163
2024-08-28 16:07:42.121526 |  0.948 | -0.00329
2024-08-28 16:07:42.270614 |  0.984 | -0.00525
2024-08-28 16:07:42.418874 |  1.000 | -0.00319
2024-08-28 16:07:42.565863 |  1.040 | -0.00283
2024-08-28 16:07:42.719088 |  1.062 | -0.00228
2024-08-28 16:07:42.862117 |  1.068 |  0.00487
2024-08-28 16:07:43.010516 |  1.088 |  0.00384
2024-08-28 16:07:43.161374 |  1.088 | -0.00074
2024-08-28 16:07:43.313125 |  1.090 | -0.00042
2024-08-28 16:07:43.462502 |  1.094 | -0.00064
2024-08-28 16:07:43.612148 |  1.124 | -0.00293
2024-08-28 16:07:43.761505 |  1.146 | -0.00364
2024-08-28 16:07:43.913707 |  1.156 | -0.00057
2024-08-28 16:07:44.056402 |  1.170 |  0.00543
2024-08-28 16:07:44.205650 |  1.214 |  0.00344
