time|weight|unit|flag
2024-08-28 16:03:18.906379 |       0 | LG | S
2024-08-28 16:03:19.206751 |       0 | LG | S
2024-08-28 16:03:19.506246 |       0 | LG | S
2024-08-28 16:03:19.806842 |       0 | LG | S
2024-08-28 16:03:20.106463 |       0 | LG | S
2024-08-28 16:03:20.406803 |       0 | LG | S
2024-08-28 16:03:20.707197 |       0 | LG | S
2024-08-28 16:03:21.006693 |       0 | LG | S
2024-08-28 16:03:21.307271 |       0 | LG | S
2024-08-28 16:03:21.606998 |       0 | LG | S
2024-08-28 16:03:21.907340 |       0 | LG | S
2024-08-28 16:03:22.207846 |       0 | LG | S
2024-08-28 16:03:22.507350 |       0 | LG | S
2024-08-28 16:03:22.807949 |       0 | LG | S
2024-08-28 16:03:23.110919 |      -2 | LG | M
2024-08-28 16:03:23.410436 |      -5 | LG | M
2024-08-28 16:03:23.711598 |     -10 | LG | M
2024-08-28 16:03:24.010617 |     -30 | LG | M
2024-08-28 16:03:24.310347 |     -65 | LG | M
2024-08-28 16:03:24.611390 |     -75 | LG | M
2024-08-28 16:03:24.911937 |     -86 | LG | M
2024-08-28 16:03:25.211094 |     -94 | LG | M
2024-08-28 16:03:25.510765 |     -99 | LG | M
2024-08-28 16:03:25.812528 |    -106 | LG | M
2024-08-28 16:03:26.111616 |    -111 | LG | M
2024-08-28 16:03:26.411268 |    -115 | LG | M
2024-08-28 16:03:26.713710 |    -121 | LG | M
2024-08-28 16:03:27.013249 |    -126 | LG | M
2024-08-28 16:03:27.312128 |    -131 | LG | M
2024-08-28 16:03:27.611658 |    -140 | LG | M
2024-08-28 16:03:27.913563 |    -142 | LG | M
2024-08-28 16:03:28.213110 |    -143 | LG | M
2024-08-28 16:03:28.512875 |    -155 | LG | M
2024-08-28 16:03:28.813053 |    -167 | LG | M
2024-08-28 16:03:29.113516 |    -171 | LG | M
2024-08-28 16:03:29.412151 |    -173 | LG | M
2024-08-28 16:03:29.713392 |    -179 | LG | M
2024-08-28 16:03:30.012546 |    -180 | LG | M
2024-08-28 16:03:30.314204 |    -180 | LG | M
2024-08-28 16:03:30.613334 |    -180 | LG | M
2024-08-28 16:03:30.912440 |    -183 | LG | M
2024-08-28 16:03:31.213845 |    -190 | LG | M
2024-08-28 16:03:31.513409 |    -194 | LG | M
2024-08-28 16:03:31.813021 |    -197 | LG | M
2024-08-28 16:03:32.112328 |    -200 | LG | M
2024-08-28 16:03:32.413577 |    -203 | LG | M
2024-08-28 16:03:32.714855 |    -204 | LG | M
2024-08-28 16:03:33.013938 |    -205 | LG | M
2024-08-28 16:03:33.313034 |    -206 | LG | M
2024-08-28 16:03:33.614258 |    -214 | LG | M
2024-08-28 16:03:33.913747 |    -219 | LG | M
2024-08-28 16:03:34.213535 |    -220 | LG | M
2024-08-28 16:03:34.513118 |    -220 | LG | M
2024-08-28 16:03:34.815149 |    -221 | LG | M
2024-08-28 16:03:35.114760 |    -224 | LG | M
2024-08-28 16:03:35.414239 |    -231 | LG | M
2024-08-28 16:03:35.714529 |    -234 | LG | M
2024-08-28 16:03:36.014881 |    -239 | LG | M
2024-08-28 16:03:36.315033 |    -250 | LG | M
2024-08-28 16:03:36.614353 |    -260 | LG | M
2024-08-28 16:03:36.913810 |    -283 | LG | M
2024-08-28 16:03:37.215585 |    -286 | LG | M
2024-08-28 16:03:37.515101 |    -286 | LG | M
2024-08-28 16:03:37.814830 |    -287 | LG | M
2024-08-28 16:03:38.114390 |    -287 | LG | M
2024-08-28 16:03:38.413834 |    -290 | LG | M
2024-08-28 16:03:38.716486 |    -295 | LG | M
2024-08-28 16:03:39.014363 |    -297 | LG | M
2024-08-28 16:03:39.314589 |    -299 | LG | M
2024-08-28 16:03:39.614740 |    -308 | LG | M
2024-08-28 16:03:39.915288 |    -312 | LG | M
2024-08-28 16:03:40.216690 |    -312 | LG | M
2024-08-28 16:03:40.515839 |    -313 | LG | M
2024-08-28 16:03:40.814476 |    -321 | LG | M
2024-08-28 16:03:41.115618 |    -326 | LG | M
2024-08-28 16:03:41.416788 |    -326 | LG | M
2024-08-28 16:03:41.715517 |    -328 | LG | M
2024-08-28 16:03:42.016913 |    -330 | LG | M
2024-08-28 16:03:42.316490 |    -332 | LG | M
2024-08-28 16:03:42.615864 |    -336 | LG | M
2024-08-28 16:03:42.914999 |    -338 | LG | M
2024-08-28 16:03:43.217225 |    -340 | LG | M
2024-08-28 16:03:43.516647 |    -340 | LG | M
2024-08-28 16:03:43.816569 |    -341 | LG | M
2024-08-28 16:03:44.116135 |    -346 | LG | M
2024-08-28 16:03:44.415695 |    -356 | LG | M
2024-08-28 16:03:44.716238 |    -361 | LG | M
2024-08-28 16:03:45.015776 |    -362 | LG | M
2024-08-28 16:03:45.317678 |    -362 | LG | M
2024-08-28 16:03:45.617209 |    -363 | LG | M
2024-08-28 16:03:45.916580 |    -376 | LG | M
2024-08-28 16:03:46.216513 |    -388 | LG | M
2024-08-28 16:03:46.516322 |    -389 | LG | M
2024-08-28 16:03:46.816548 |    -389 | LG | M
2024-08-28 16:03:47.116615 |    -394 | LG | M
2024-08-28 16:03:47.417435 |    -397 | LG | M
2024-08-28 16:03:47.718230 |    -399 | LG | M
2024-08-28 16:03:48.016612 |    -404 | LG | M
2024-08-28 16:03:48.318193 |    -408 | LG | M
2024-08-28 16:03:48.617087 |    -415 | LG | M
2024-08-28 16:03:48.916596 |    -420 | LG | M
2024-08-28 16:03:49.218563 |    -425 | LG | M
2024-08-28 16:03:49.518099 |    -430 | LG | M
2024-08-28 16:03:49.818498 |    -431 | LG | M
2024-08-28 16:03:50.118797 |    -431 | LG | M
2024-08-28 16:03:50.418864 |    -439 | LG | M
2024-08-28 16:03:50.718939 |    -449 | LG | M
2024-08-28 16:03:51.018309 |    -448 | LG | M
2024-08-28 16:03:51.318114 |    -448 | LG | S
2024-08-28 16:03:51.614071 |    -448 | LG | S
2024-08-28 16:03:51.918742 |    -458 | LG | M
2024-08-28 16:03:52.218846 |    -465 | LG | M
2024-08-28 16:03:52.519094 |    -464 | LG | M
2024-08-28 16:03:52.819024 |    -464 | LG | S
2024-08-28 16:03:53.115496 |    -464 | LG | M
2024-08-28 16:03:53.418153 |    -473 | LG | M
2024-08-28 16:03:53.718688 |    -473 | LG | M
2024-08-28 16:03:54.019329 |    -475 | LG | M
2024-08-28 16:03:54.317927 |    -477 | LG | M
2024-08-28 16:03:54.618850 |    -480 | LG | M
2024-08-28 16:03:54.920279 |    -490 | LG | M
2024-08-28 16:03:55.219781 |    -492 | LG | M
2024-08-28 16:03:55.519211 |    -500 | LG | M
2024-08-28 16:03:55.819159 |    -512 | LG | M
2024-08-28 16:03:56.119712 |    -524 | LG | M
2024-08-28 16:03:56.419661 |    -524 | LG | M
2024-08-28 16:03:56.719509 |    -523 | LG | M
2024-08-28 16:03:57.019701 |    -522 | LG | M
2024-08-28 16:03:57.319819 |    -522 | LG | M
2024-08-28 16:03:57.619990 |    -522 | LG | M
2024-08-28 16:03:57.919891 |    -522 | LG | S
2024-08-28 16:03:58.216524 |    -522 | LG | S
2024-08-28 16:03:58.519294 |    -522 | LG | S
2024-08-28 16:03:58.819638 |    -524 | LG | M
2024-08-28 16:03:59.119806 |    -528 | LG | M
2024-08-28 16:03:59.420176 |    -534 | LG | M
2024-08-28 16:03:59.720847 |    -540 | LG | M
2024-08-28 16:04:00.019166 |    -545 | LG | M
2024-08-28 16:04:00.319677 |    -547 | LG | M
2024-08-28 16:04:00.620263 |    -548 | LG | M
2024-08-28 16:04:00.921139 |    -550 | LG | M
2024-08-28 16:04:01.219870 |    -551 | LG | M
2024-08-28 16:04:01.521035 |    -551 | LG | M
2024-08-28 16:04:01.819939 |    -553 | LG | M
2024-08-28 16:04:02.121248 |    -552 | LG | M
2024-08-28 16:04:02.420145 |    -553 | LG | M
2024-08-28 16:04:02.721534 |    -555 | LG | M
2024-08-28 16:04:03.020485 |    -557 | LG | M
2024-08-28 16:04:03.321884 |    -558 | LG | M
2024-08-28 16:04:03.620869 |    -557 | LG | M
2024-08-28 16:04:03.922513 |    -556 | LG | M
2024-08-28 16:04:04.221440 |    -556 | LG | M
2024-08-28 16:04:04.522742 |    -555 | LG | M
2024-08-28 16:04:04.821631 |    -554 | LG | M
2024-08-28 16:04:05.123255 |    -554 | LG | M
2024-08-28 16:04:05.422173 |    -554 | LG | M
2024-08-28 16:04:05.721267 |    -553 | LG | M
2024-08-28 16:04:06.022755 |    -553 | LG | M
2024-08-28 16:04:06.321656 |    -553 | LG | M
2024-08-28 16:04:06.622990 |    -553 | LG | S
2024-08-28 16:04:06.918606 |    -553 | LG | S
2024-08-28 16:04:07.219004 |    -553 | LG | S
2024-08-28 16:04:07.523013 |    -552 | LG | S
2024-08-28 16:04:07.822095 |    -552 | LG | S
2024-08-28 16:04:08.123956 |    -552 | LG | S
2024-08-28 16:04:08.423614 |    -552 | LG | S
2024-08-28 16:04:08.722899 |    -552 | LG | S
2024-08-28 16:04:09.020771 |    -552 | LG | S
2024-08-28 16:04:09.318610 |    -552 | LG | S
2024-08-28 16:04:09.618788 |    -552 | LG | S
2024-08-28 16:04:09.919140 |    -552 | LG | S
2024-08-28 16:04:10.223159 |    -551 | LG | S
2024-08-28 16:04:10.524711 |    -551 | LG | S
2024-08-28 16:04:10.824209 |    -551 | LG | S
2024-08-28 16:04:11.123539 |    -551 | LG | S
2024-08-28 16:04:11.425366 |    -551 | LG | S
2024-08-28 16:04:11.724653 |    -551 | LG | S
2024-08-28 16:04:12.024121 |    -551 | LG | S
2024-08-28 16:04:12.323430 |    -551 | LG | S
2024-08-28 16:04:12.621263 |    -551 | LG | S
2024-08-28 16:04:12.921887 |    -551 | LG | S
2024-08-28 16:04:13.219665 |    -551 | LG | S
2024-08-28 16:04:13.520087 |    -551 | LG | S
2024-08-28 16:04:13.820509 |    -551 | LG | S
2024-08-28 16:04:14.120885 |    -551 | LG | S
2024-08-28 16:04:14.421261 |    -551 | LG | S
2024-08-28 16:04:14.725241 |    -550 | LG | S
2024-08-28 16:04:15.024771 |    -550 | LG | S
2024-08-28 16:04:15.326856 |    -550 | LG | S
2024-08-28 16:04:15.626276 |    -550 | LG | S
2024-08-28 16:04:15.925564 |    -550 | LG | S
2024-08-28 16:04:16.225119 |    -550 | LG | S
2024-08-28 16:04:16.527125 |    -550 | LG | S
2024-08-28 16:04:16.827004 |    -550 | LG | S
2024-08-28 16:04:17.126513 |    -550 | LG | S
2024-08-28 16:04:17.426033 |    -550 | LG | S
2024-08-28 16:04:17.725505 |    -550 | LG | S
2024-08-28 16:04:18.027579 |    -550 | LG | S
2024-08-28 16:04:18.327417 |    -550 | LG | S
2024-08-28 16:04:18.626946 |    -550 | LG | S
