time|displacement|delay
2024-08-28 14:58:33.748724 |  0.004 | -0.01819
2024-08-28 14:58:33.877461 |  0.004 | -0.01436
2024-08-28 14:58:33.990431 |  0.004 | -0.00214
2024-08-28 14:58:34.121538 |  0.004 | -0.00431
2024-08-28 14:58:34.237329 |  0.004 |  0.00865
2024-08-28 14:58:34.359225 |  0.004 |  0.01564
2024-08-28 14:58:34.488097 |  0.004 |  0.01563
2024-08-28 14:58:34.625703 |  0.004 |  0.01197
2024-08-28 14:58:34.753978 |  0.004 |  0.01253
2024-08-28 14:58:34.885714 |  0.004 |  0.00963
2024-08-28 14:58:35.018112 |  0.004 |  0.00691
2024-08-28 14:58:35.149061 |  0.004 |  0.00709
2024-08-28 14:58:35.278862 |  0.004 |  0.00304
2024-08-28 14:58:35.408955 |  0.004 |  0.00179
2024-08-28 14:58:35.536955 |  0.004 |  0.00288
2024-08-28 14:58:35.669174 |  0.004 |  0.00437
2024-08-28 14:58:35.792180 |  0.004 |  0.01021
2024-08-28 14:58:35.921100 |  0.004 |  0.01043
2024-08-28 14:58:36.053345 |  0.004 |  0.00677
2024-08-28 14:58:36.185963 |  0.004 |  0.00340
2024-08-28 14:58:36.316831 |  0.004 |  0.00123
2024-08-28 14:58:36.445948 |  0.004 |  0.00073
2024-08-28 14:58:36.573972 |  0.004 |  0.00183
2024-08-28 14:58:36.701856 |  0.004 |  0.00257
2024-08-28 14:58:36.835434 |  0.004 |  0.00315
2024-08-28 14:58:36.959222 |  0.004 |  0.00799
2024-08-28 14:58:37.088473 |  0.004 |  0.00795
2024-08-28 14:58:37.220489 |  0.004 |  0.00441
2024-08-28 14:58:37.352709 |  0.078 |  0.00306
2024-08-28 14:58:37.479347 |  0.100 |  0.00530
2024-08-28 14:58:37.609219 |  0.102 |  0.00512
2024-08-28 14:58:37.740212 |  0.102 |  0.00007
2024-08-28 14:58:37.876570 |  0.102 | -0.00235
2024-08-28 14:58:37.999952 |  0.102 |  0.00312
2024-08-28 14:58:38.122202 |  0.102 |  0.00974
2024-08-28 14:58:38.252324 |  0.102 |  0.00845
2024-08-28 14:58:38.382204 |  0.114 |  0.01071
2024-08-28 14:58:38.515571 |  0.114 |  0.00290
2024-08-28 14:58:38.650444 |  0.126 |  0.00014
2024-08-28 14:58:38.781199 |  0.148 | -0.00298
2024-08-28 14:58:38.910570 |  0.152 | -0.00265
2024-08-28 14:58:39.043290 |  0.178 | -0.00228
2024-08-28 14:58:39.165950 |  0.204 |  0.00408
2024-08-28 14:58:39.293965 |  0.218 |  0.00603
2024-08-28 14:58:39.425203 |  0.238 |  0.00240
2024-08-28 14:58:39.557713 |  0.248 | -0.00001
2024-08-28 14:58:39.688328 |  0.252 | -0.00179
2024-08-28 14:58:39.815068 |  0.268 |  0.00032
2024-08-28 14:58:39.943454 |  0.270 |  0.00042
2024-08-28 14:58:40.078044 |  0.280 |  0.00015
2024-08-28 14:58:40.202190 |  0.300 |  0.00363
2024-08-28 14:58:40.331565 |  0.300 |  0.00420
2024-08-28 14:58:40.463096 |  0.328 |  0.00044
2024-08-28 14:58:40.594965 |  0.350 | -0.00258
2024-08-28 14:58:40.724692 |  0.350 | -0.00237
2024-08-28 14:58:40.851593 |  0.364 | -0.00025
2024-08-28 14:58:40.979731 |  0.390 | -0.00072
2024-08-28 14:58:41.109065 |  0.390 | -0.00015
2024-08-28 14:58:41.243290 |  0.402 | -0.00014
2024-08-28 14:58:41.367450 |  0.416 |  0.00444
2024-08-28 14:58:41.496835 |  0.416 |  0.00376
2024-08-28 14:58:41.628683 |  0.432 | -0.00037
2024-08-28 14:58:41.760297 |  0.440 | -0.00190
2024-08-28 14:58:41.889796 |  0.444 | -0.00292
2024-08-28 14:58:42.018463 |  0.450 | -0.00231
2024-08-28 14:58:42.146320 |  0.450 | -0.00459
2024-08-28 14:58:42.279651 |  0.452 | -0.00108
2024-08-28 14:58:42.401457 |  0.452 |  0.00311
2024-08-28 14:58:42.530234 |  0.452 |  0.00636
2024-08-28 14:58:42.659603 |  0.454 |  0.00560
2024-08-28 14:58:42.792451 |  0.454 | -0.00131
2024-08-28 14:58:42.925090 |  0.476 | -0.00305
2024-08-28 14:58:43.052698 |  0.478 | -0.00094
2024-08-28 14:58:43.176576 |  0.504 |  0.00320
2024-08-28 14:58:43.305714 |  0.508 |  0.00393
2024-08-28 14:58:43.442066 |  0.548 |  0.00053
2024-08-28 14:58:43.568701 |  0.558 |  0.00397
2024-08-28 14:58:43.698819 |  0.564 |  0.00271
2024-08-28 14:58:43.827455 |  0.576 |  0.00295
2024-08-28 14:58:43.958722 |  0.580 |  0.00017
2024-08-28 14:58:44.090199 |  0.612 | -0.00333
2024-08-28 14:58:44.220325 |  0.618 | -0.00338
2024-08-28 14:58:44.347593 |  0.620 | -0.00214
2024-08-28 14:58:44.480795 |  0.628 | -0.00104
2024-08-28 14:58:44.604324 |  0.628 |  0.00415
2024-08-28 14:58:44.731661 |  0.636 |  0.00580
2024-08-28 14:58:44.863664 |  0.644 |  0.00265
2024-08-28 14:58:44.996820 |  0.646 | -0.00201
2024-08-28 14:58:45.128202 |  0.654 | -0.00416
2024-08-28 14:58:45.257202 |  0.654 | -0.00734
2024-08-28 14:58:45.384949 |  0.658 | -0.00304
2024-08-28 14:58:45.510691 |  0.668 | -0.00007
2024-08-28 14:58:45.643910 |  0.672 |  0.00028
2024-08-28 14:58:45.764938 |  0.684 |  0.00849
2024-08-28 14:58:45.894707 |  0.690 |  0.00761
2024-08-28 14:58:46.029079 |  0.694 |  0.00169
2024-08-28 14:58:46.160443 |  0.708 | -0.00045
2024-08-28 14:58:46.291445 |  0.706 | -0.00586
2024-08-28 14:58:46.421335 |  0.714 | -0.00362
2024-08-28 14:58:46.548227 |  0.720 | -0.00163
2024-08-28 14:58:46.677908 |  0.722 |  0.00223
2024-08-28 14:58:46.801698 |  0.738 |  0.00644
2024-08-28 14:58:46.932824 |  0.738 |  0.00237
2024-08-28 14:58:47.066201 |  0.752 |  0.00088
2024-08-28 14:58:47.197452 |  0.752 | -0.00479
2024-08-28 14:58:47.328087 |  0.772 | -0.00453
2024-08-28 14:58:47.455446 |  0.776 | -0.00204
2024-08-28 14:58:47.582953 |  0.780 | -0.00082
2024-08-28 14:58:47.711683 |  0.796 | -0.00156
2024-08-28 14:58:47.846127 |  0.806 | -0.00084
2024-08-28 14:58:47.970050 |  0.806 |  0.00398
2024-08-28 14:58:48.099316 |  0.820 |  0.00373
2024-08-28 14:58:48.228815 |  0.824 |  0.00272
2024-08-28 14:58:48.360702 |  0.826 | -0.00031
2024-08-28 14:58:48.492194 |  0.844 | -0.00380
2024-08-28 14:58:48.621948 |  0.844 | -0.00674
2024-08-28 14:58:48.749944 |  0.848 | -0.00259
2024-08-28 14:58:48.881180 |  0.848 |  0.00001
2024-08-28 14:58:49.004349 |  0.854 |  0.00587
2024-08-28 14:58:49.134096 |  0.858 |  0.00460
2024-08-28 14:58:49.266954 |  0.860 |  0.00059
2024-08-28 14:58:49.399190 |  0.862 | -0.00280
2024-08-28 14:58:49.529440 |  0.862 | -0.00695
2024-08-28 14:58:49.655831 |  0.862 | -0.00146
2024-08-28 14:58:49.781813 |  0.864 |  0.00117
2024-08-28 14:58:49.910693 |  0.864 | -0.00174
2024-08-28 14:58:50.046177 |  0.864 | -0.00326
2024-08-28 14:58:50.165195 |  0.864 |  0.00658
2024-08-28 14:58:50.291066 |  0.864 |  0.00958
2024-08-28 14:58:50.422198 |  0.866 |  0.01021
2024-08-28 14:58:50.557195 |  0.866 |  0.00115
2024-08-28 14:58:50.692832 |  0.866 | -0.00537
2024-08-28 14:58:50.823571 |  0.866 | -0.00749
2024-08-28 14:58:50.950925 |  0.864 | -0.00599
2024-08-28 14:58:51.078173 |  0.866 |  0.00378
2024-08-28 14:58:51.199805 |  0.866 |  0.01111
2024-08-28 14:58:51.331567 |  0.874 |  0.00835
2024-08-28 14:58:51.467565 |  0.882 |  0.00121
2024-08-28 14:58:51.601078 |  0.882 | -0.00658
2024-08-28 14:58:51.729180 |  0.888 | -0.00268
2024-08-28 14:58:51.855815 |  0.892 | -0.00083
2024-08-28 14:58:51.984559 |  0.894 | -0.00071
2024-08-28 14:58:52.114307 |  0.902 | -0.00122
2024-08-28 14:58:52.249023 |  0.906 | -0.00236
2024-08-28 14:58:52.373434 |  0.912 |  0.00250
2024-08-28 14:58:52.502206 |  0.916 |  0.00261
2024-08-28 14:58:52.633723 |  0.918 | -0.00042
2024-08-28 14:58:52.765192 |  0.928 | -0.00267
2024-08-28 14:58:52.895067 |  0.928 | -0.00673
2024-08-28 14:58:53.023822 |  0.940 | -0.00356
2024-08-28 14:58:53.150161 |  0.950 | -0.00107
2024-08-28 14:58:53.283285 |  0.952 | -0.00059
2024-08-28 14:58:53.406431 |  0.962 |  0.00552
2024-08-28 14:58:53.535945 |  0.962 |  0.00158
2024-08-28 14:58:53.664340 |  0.972 |  0.00549
2024-08-28 14:58:53.795198 |  0.972 |  0.00006
2024-08-28 14:58:53.928054 |  0.980 | -0.00067
2024-08-28 14:58:54.058319 |  0.982 | -0.00245
2024-08-28 14:58:54.187923 |  0.984 | -0.00320
2024-08-28 14:58:54.316679 |  0.986 | -0.00308
2024-08-28 14:58:54.450154 |  0.986 | -0.00548
2024-08-28 14:58:54.573308 |  0.992 |  0.00353
2024-08-28 14:58:54.700076 |  0.992 |  0.00236
2024-08-28 14:58:54.831685 |  1.008 |  0.00165
2024-08-28 14:58:54.962808 |  1.010 |  0.00024
2024-08-28 14:58:55.093702 |  1.014 | -0.00179
2024-08-28 14:58:55.222838 |  1.024 | -0.00165
2024-08-28 14:58:55.347691 |  1.026 |  0.00197
2024-08-28 14:58:55.481762 |  1.032 |  0.00221
2024-08-28 14:58:55.607563 |  1.038 |  0.00528
2024-08-28 14:58:55.738696 |  1.038 | -0.00012
2024-08-28 14:58:55.871574 |  1.044 | -0.00101
2024-08-28 14:58:56.001577 |  1.044 | -0.00543
2024-08-28 14:58:56.131073 |  1.048 | -0.00317
2024-08-28 14:58:56.258181 |  1.060 | -0.00103
2024-08-28 14:58:56.386324 |  1.060 | -0.00044
2024-08-28 14:58:56.511439 |  1.076 |  0.00346
2024-08-28 14:58:56.646184 |  1.078 |  0.00231
2024-08-28 14:58:56.772690 |  1.090 |  0.00504
2024-08-28 14:58:56.903809 |  1.096 |  0.00277
2024-08-28 14:58:57.036573 |  1.096 | -0.00439
2024-08-28 14:58:57.168191 |  1.104 | -0.00389
2024-08-28 14:58:57.295927 |  1.104 | -0.00604
2024-08-28 14:58:57.423818 |  1.112 | -0.00177
2024-08-28 14:58:57.550428 |  1.112 | -0.00280
2024-08-28 14:58:57.684268 |  1.118 |  0.00058
2024-08-28 14:58:57.807299 |  1.122 |  0.00656
2024-08-28 14:58:57.937312 |  1.122 |  0.00514
2024-08-28 14:58:58.070678 |  1.136 |  0.00076
2024-08-28 14:58:58.203305 |  1.136 | -0.00316
2024-08-28 14:58:58.333690 |  1.150 | -0.00455
2024-08-28 14:58:58.461939 |  1.168 | -0.00516
2024-08-28 14:58:58.589316 |  1.172 | -0.00284
2024-08-28 14:58:58.716295 |  1.210 | -0.00182
2024-08-28 14:58:58.849519 |  1.210 | -0.00312
2024-08-28 14:58:58.972942 |  1.212 |  0.00523
2024-08-28 14:58:59.096934 |  1.218 |  0.01049
2024-08-28 14:58:59.229170 |  1.218 |  0.00696
2024-08-28 14:58:59.364576 |  1.232 |  0.00058
