time|weight|unit|flag
2024-08-28 14:58:34.106000 |       0 | LG | S
2024-08-28 14:58:34.406134 |       0 | LG | S
2024-08-28 14:58:34.706085 |       0 | LG | S
2024-08-28 14:58:35.006240 |       0 | LG | S
2024-08-28 14:58:35.307211 |       0 | LG | S
2024-08-28 14:58:35.606196 |       0 | LG | S
2024-08-28 14:58:35.906366 |       0 | LG | S
2024-08-28 14:58:36.206297 |       0 | LG | S
2024-08-28 14:58:36.506505 |       0 | LG | S
2024-08-28 14:58:36.807193 |       0 | LG | S
2024-08-28 14:58:37.106520 |       0 | LG | S
2024-08-28 14:58:37.409156 |       0 | LG | S
2024-08-28 14:58:37.709775 |      -3 | LG | M
2024-08-28 14:58:38.009957 |     -22 | LG | M
2024-08-28 14:58:38.310334 |     -22 | LG | M
2024-08-28 14:58:38.610930 |     -24 | LG | M
2024-08-28 14:58:38.911256 |     -28 | LG | M
2024-08-28 14:58:39.212001 |     -35 | LG | M
2024-08-28 14:58:39.511931 |     -46 | LG | M
2024-08-28 14:58:39.810576 |     -54 | LG | M
2024-08-28 14:58:40.112006 |     -60 | LG | M
2024-08-28 14:58:40.411543 |     -64 | LG | M
2024-08-28 14:58:40.711186 |     -71 | LG | M
2024-08-28 14:58:41.011490 |     -78 | LG | M
2024-08-28 14:58:41.311866 |     -84 | LG | M
2024-08-28 14:58:41.612227 |     -89 | LG | M
2024-08-28 14:58:41.910771 |     -94 | LG | M
2024-08-28 14:58:42.212026 |     -97 | LG | M
2024-08-28 14:58:42.511621 |     -99 | LG | M
2024-08-28 14:58:42.811329 |     -99 | LG | M
2024-08-28 14:58:43.113589 |    -102 | LG | M
2024-08-28 14:58:43.412376 |    -110 | LG | M
2024-08-28 14:58:43.712322 |    -122 | LG | M
2024-08-28 14:58:44.013762 |    -129 | LG | M
2024-08-28 14:58:44.312727 |    -135 | LG | M
2024-08-28 14:58:44.611991 |    -139 | LG | M
2024-08-28 14:58:44.913993 |    -142 | LG | M
2024-08-28 14:58:45.213597 |    -144 | LG | M
2024-08-28 14:58:45.513242 |    -146 | LG | M
2024-08-28 14:58:45.812742 |    -150 | LG | M
2024-08-28 14:58:46.112992 |    -153 | LG | M
2024-08-28 14:58:46.413102 |    -156 | LG | M
2024-08-28 14:58:46.713349 |    -159 | LG | M
2024-08-28 14:58:47.013731 |    -162 | LG | M
2024-08-28 14:58:47.314512 |    -165 | LG | M
2024-08-28 14:58:47.615361 |    -171 | LG | M
2024-08-28 14:58:47.914440 |    -175 | LG | M
2024-08-28 14:58:48.213602 |    -178 | LG | M
2024-08-28 14:58:48.515250 |    -181 | LG | M
2024-08-28 14:58:48.814152 |    -184 | LG | M
2024-08-28 14:58:49.115725 |    -186 | LG | M
2024-08-28 14:58:49.414806 |    -187 | LG | M
2024-08-28 14:58:49.713510 |    -188 | LG | M
2024-08-28 14:58:50.014651 |    -188 | LG | M
2024-08-28 14:58:50.316183 |    -188 | LG | S
2024-08-28 14:58:50.615501 |    -188 | LG | S
2024-08-28 14:58:50.914568 |    -188 | LG | S
2024-08-28 14:58:51.212473 |    -188 | LG | S
2024-08-28 14:58:51.516223 |    -189 | LG | M
2024-08-28 14:58:51.815389 |    -191 | LG | M
2024-08-28 14:58:52.115063 |    -194 | LG | M
2024-08-28 14:58:52.414828 |    -195 | LG | M
2024-08-28 14:58:52.714784 |    -196 | LG | M
2024-08-28 14:58:53.016891 |    -198 | LG | M
2024-08-28 14:58:53.316508 |    -200 | LG | M
2024-08-28 14:58:53.615554 |    -202 | LG | M
2024-08-28 14:58:53.917171 |    -204 | LG | M
2024-08-28 14:58:54.216363 |    -205 | LG | M
2024-08-28 14:58:54.515735 |    -206 | LG | M
2024-08-28 14:58:54.817545 |    -206 | LG | M
2024-08-28 14:58:55.116890 |    -208 | LG | M
2024-08-28 14:58:55.415956 |    -209 | LG | M
2024-08-28 14:58:55.717904 |    -210 | LG | M
2024-08-28 14:58:56.017614 |    -211 | LG | M
2024-08-28 14:58:56.317583 |    -211 | LG | M
2024-08-28 14:58:56.617537 |    -212 | LG | M
2024-08-28 14:58:56.917407 |    -214 | LG | M
2024-08-28 14:58:57.217296 |    -215 | LG | M
2024-08-28 14:58:57.517265 |    -216 | LG | M
2024-08-28 14:58:57.817423 |    -216 | LG | M
2024-08-28 14:58:58.117232 |    -217 | LG | M
2024-08-28 14:58:58.417243 |    -218 | LG | M
2024-08-28 14:58:58.717154 |    -219 | LG | M
2024-08-28 14:58:59.017344 |    -220 | LG | M
2024-08-28 14:58:59.317543 |    -222 | LG | M
2024-08-28 14:58:59.617506 |    -222 | LG | M
2024-08-28 14:58:59.917659 |    -223 | LG | M
2024-08-28 14:59:00.217544 |    -225 | LG | M
2024-08-28 14:59:00.517653 |    -226 | LG | M
2024-08-28 14:59:00.817804 |    -228 | LG | M
2024-08-28 14:59:01.118192 |    -229 | LG | M
2024-08-28 14:59:01.418416 |    -230 | LG | M
2024-08-28 14:59:01.718993 |    -232 | LG | M
2024-08-28 14:59:02.019615 |    -233 | LG | M
2024-08-28 14:59:02.317686 |    -235 | LG | M
2024-08-28 14:59:02.618174 |    -237 | LG | M
2024-08-28 14:59:02.918913 |    -238 | LG | M
2024-08-28 14:59:03.219452 |    -239 | LG | M
2024-08-28 14:59:03.520211 |    -240 | LG | M
2024-08-28 14:59:03.819681 |    -242 | LG | M
