time|displacement|delay
2024-08-28 16:05:26.748215 |  0.390 | -0.01308
2024-08-28 16:05:27.059695 |  0.390 | -0.02361
2024-08-28 16:05:27.195598 |  0.390 | -0.01444
2024-08-28 16:05:27.336697 |  0.390 | -0.00687
2024-08-28 16:05:27.482350 |  0.390 | -0.00377
2024-08-28 16:05:27.631707 |  0.390 | -0.00416
2024-08-28 16:05:27.787812 |  0.390 | -0.00657
2024-08-28 16:05:27.933334 |  0.390 |  0.00010
2024-08-28 16:05:28.082456 |  0.390 | -0.00397
2024-08-28 16:05:28.235199 |  0.390 | -0.00786
2024-08-28 16:05:28.385585 |  0.390 | -0.00971
2024-08-28 16:05:28.533820 |  0.390 | -0.00925
2024-08-28 16:05:28.680831 |  0.390 | -0.00755
2024-08-28 16:05:28.827697 |  0.390 | -0.00572
2024-08-28 16:05:28.980529 |  0.390 | -0.00477
2024-08-28 16:05:29.123985 |  0.390 |  0.00052
2024-08-28 16:05:29.272930 |  0.390 |  0.00022
2024-08-28 16:05:29.424595 |  0.390 | -0.00270
2024-08-28 16:05:29.576204 |  0.390 | -0.00565
2024-08-28 16:05:29.726089 |  0.390 | -0.00683
2024-08-28 16:05:29.871454 |  0.390 | -0.00350
2024-08-28 16:05:30.018952 |  0.390 | -0.00228
2024-08-28 16:05:30.168095 |  0.390 | -0.00211
2024-08-28 16:05:30.322792 |  0.386 | -0.00364
2024-08-28 16:05:30.467459 |  0.386 |  0.00038
2024-08-28 16:05:30.614694 |  0.386 |  0.00194
2024-08-28 16:05:30.765697 |  0.386 | -0.00059
2024-08-28 16:05:30.917585 |  0.386 | -0.00355
2024-08-28 16:05:31.068095 |  0.386 | -0.00541
2024-08-28 16:05:31.216855 |  0.386 | -0.00578
2024-08-28 16:05:31.364571 |  0.386 | -0.00461
2024-08-28 16:05:31.517190 |  0.386 | -0.00349
2024-08-28 16:05:31.659962 |  0.386 |  0.00280
2024-08-28 16:05:31.808324 |  0.386 |  0.00598
2024-08-28 16:05:31.960099 |  0.386 |  0.00287
2024-08-28 16:05:32.113716 |  0.386 | -0.00586
2024-08-28 16:05:32.265690 |  0.386 | -0.00550
2024-08-28 16:05:32.413088 |  0.386 | -0.00787
2024-08-28 16:05:32.560326 |  0.386 | -0.00628
2024-08-28 16:05:32.706179 |  0.386 | -0.00363
2024-08-28 16:05:32.853662 |  0.510 |  0.00508
2024-08-28 16:05:32.996450 |  0.566 |  0.01136
2024-08-28 16:05:33.148453 |  0.584 |  0.00790
2024-08-28 16:05:33.304567 |  0.656 |  0.00045
2024-08-28 16:05:33.456313 |  0.736 | -0.00263
2024-08-28 16:05:33.606947 |  0.768 | -0.00460
2024-08-28 16:05:33.756090 |  0.780 | -0.00365
2024-08-28 16:05:33.903839 |  0.800 | -0.00413
2024-08-28 16:05:34.053655 |  0.804 |  0.00077
2024-08-28 16:05:34.196455 |  0.806 |  0.00665
2024-08-28 16:05:34.346696 |  0.806 |  0.00539
2024-08-28 16:05:34.500438 |  0.808 |  0.00006
2024-08-28 16:05:34.653577 |  0.788 | -0.00876
2024-08-28 16:05:34.803960 |  0.672 | -0.01048
2024-08-28 16:05:34.949603 |  0.548 | -0.00745
2024-08-28 16:05:35.093948 |  0.512 | -0.00313
2024-08-28 16:05:35.239682 |  0.500 |  0.00117
2024-08-28 16:05:35.392638 |  0.474 |  0.00073
2024-08-28 16:05:35.537816 |  0.470 |  0.00521
2024-08-28 16:05:35.687945 |  0.470 |  0.00378
2024-08-28 16:05:35.839183 |  0.474 |  0.00461
2024-08-28 16:05:35.991075 |  0.506 |  0.00049
2024-08-28 16:05:36.139693 |  0.546 |  0.00068
2024-08-28 16:05:36.289937 |  0.572 | -0.00090
2024-08-28 16:05:36.439078 |  0.590 | -0.00131
2024-08-28 16:05:36.590414 |  0.598 |  0.00264
2024-08-28 16:05:36.734572 |  0.606 |  0.00723
2024-08-28 16:05:36.885922 |  0.616 |  0.00464
2024-08-28 16:05:37.040091 |  0.628 | -0.00083
2024-08-28 16:05:37.192198 |  0.652 | -0.00576
2024-08-28 16:05:37.341814 |  0.672 | -0.00669
2024-08-28 16:05:37.488932 |  0.686 | -0.00376
2024-08-28 16:05:37.632329 |  0.700 |  0.00167
2024-08-28 16:05:37.780181 |  0.716 |  0.00278
2024-08-28 16:05:37.933672 |  0.730 |  0.00297
2024-08-28 16:05:38.079948 |  0.748 |  0.00399
2024-08-28 16:05:38.231700 |  0.764 |  0.00100
2024-08-28 16:05:38.383960 |  0.782 | -0.00243
2024-08-28 16:05:38.531423 |  0.796 |  0.00032
2024-08-28 16:05:38.680313 |  0.814 | -0.00127
2024-08-28 16:05:38.830690 |  0.826 | -0.00145
2024-08-28 16:05:38.980058 |  0.840 | -0.00207
2024-08-28 16:05:39.134529 |  0.850 | -0.00275
2024-08-28 16:05:39.278449 |  0.860 |  0.00206
2024-08-28 16:05:39.422943 |  0.868 |  0.00635
2024-08-28 16:05:39.573931 |  0.878 |  0.00407
2024-08-28 16:05:39.727084 |  0.888 | -0.00031
2024-08-28 16:05:39.879594 |  0.902 | -0.00405
2024-08-28 16:05:40.029692 |  0.910 | -0.00542
2024-08-28 16:05:40.177831 |  0.924 | -0.00460
2024-08-28 16:05:40.323925 |  0.934 | -0.00211
2024-08-28 16:05:40.476640 |  0.958 | -0.00246
2024-08-28 16:05:40.616682 |  0.988 |  0.00639
2024-08-28 16:05:40.761806 |  1.014 |  0.01007
2024-08-28 16:05:40.915190 |  1.024 |  0.00695
2024-08-28 16:05:41.070694 |  1.028 | -0.00037
2024-08-28 16:05:41.223945 |  1.030 | -0.00500
2024-08-28 16:05:41.374038 |  1.044 | -0.00599
2024-08-28 16:05:41.517176 |  1.076 | -0.00193
2024-08-28 16:05:41.669146 |  1.096 | -0.00020
2024-08-28 16:05:41.813185 |  1.114 |  0.00445
2024-08-28 16:05:41.963045 |  1.138 |  0.00322
2024-08-28 16:05:42.115543 |  1.164 | -0.00064
2024-08-28 16:05:42.267604 |  1.182 | -0.00399
2024-08-28 16:05:42.417419 |  1.190 | -0.00363
2024-08-28 16:05:42.565417 |  1.196 | -0.00190
2024-08-28 16:05:42.713563 |  1.200 | -0.00274
2024-08-28 16:05:42.862551 |  1.210 | -0.00268
2024-08-28 16:05:43.016141 |  1.244 | -0.00390
2024-08-28 16:05:43.159446 |  1.254 |  0.00300
2024-08-28 16:05:43.307168 |  1.256 |  0.00353
2024-08-28 16:05:43.458576 |  1.256 | -0.00255
2024-08-28 16:05:43.610295 |  1.258 | -0.00221
2024-08-28 16:05:43.758687 |  1.266 | -0.00135
2024-08-28 16:05:43.905059 |  1.286 | -0.00045
2024-08-28 16:05:44.054170 |  1.290 |  0.00008
2024-08-28 16:05:44.208776 |  1.290 | -0.00045
2024-08-28 16:05:44.353551 |  1.292 |  0.00319
2024-08-28 16:05:44.503044 |  1.294 |  0.00242
2024-08-28 16:05:44.654569 |  1.300 |  0.00011
2024-08-28 16:05:44.805673 |  1.304 | -0.00278
2024-08-28 16:05:44.955666 |  1.344 | -0.00495
2024-08-28 16:05:45.103926 |  1.356 | -0.00326
2024-08-28 16:05:45.251061 |  1.360 | -0.00168
2024-08-28 16:05:45.399058 |  1.378 | -0.00247
2024-08-28 16:05:45.552636 |  1.380 | -0.00135
