time|weight|unit|flag
2024-09-13 15:08:02.724883 |       0 | LG | S
2024-09-13 15:08:03.024657 |       0 | LG | S
2024-09-13 15:08:03.324991 |       0 | LG | S
2024-09-13 15:08:03.625311 |       0 | LG | S
2024-09-13 15:08:03.925578 |       0 | LG | S
2024-09-13 15:08:04.225367 |       0 | LG | S
2024-09-13 15:08:04.524836 |       0 | LG | S
2024-09-13 15:08:04.825111 |       0 | LG | S
2024-09-13 15:08:05.124683 |       0 | LG | S
2024-09-13 15:08:05.425880 |       0 | LG | S
2024-09-13 15:08:05.725710 |       0 | LG | S
2024-09-13 15:08:06.025098 |       0 | LG | S
2024-09-13 15:08:06.325421 |       0 | LG | S
2024-09-13 15:08:06.625027 |       0 | LG | S
2024-09-13 15:08:06.926191 |       0 | LG | S
2024-09-13 15:08:07.228034 |      -2 | LG | M
2024-09-13 15:08:07.528622 |      -6 | LG | M
2024-09-13 15:08:07.827894 |     -53 | LG | M
2024-09-13 15:08:08.129229 |     -74 | LG | M
2024-09-13 15:08:08.427910 |     -83 | LG | M
2024-09-13 15:08:08.728076 |     -88 | LG | M
2024-09-13 15:08:09.028645 |     -92 | LG | M
2024-09-13 15:08:09.328236 |     -97 | LG | M
2024-09-13 15:08:09.628609 |    -101 | LG | M
2024-09-13 15:08:09.930252 |    -105 | LG | M
2024-09-13 15:08:10.229352 |    -109 | LG | M
2024-09-13 15:08:10.528890 |    -113 | LG | M
2024-09-13 15:08:10.828736 |    -116 | LG | M
2024-09-13 15:08:11.128695 |    -119 | LG | M
2024-09-13 15:08:11.430873 |    -120 | LG | M
2024-09-13 15:08:11.729905 |    -117 | LG | M
2024-09-13 15:08:12.029419 |    -114 | LG | M
2024-09-13 15:08:12.329365 |    -113 | LG | M
2024-09-13 15:08:12.629298 |    -113 | LG | S
2024-09-13 15:08:12.929468 |    -113 | LG | S
2024-09-13 15:08:13.229315 |    -113 | LG | S
2024-09-13 15:08:13.529461 |    -113 | LG | S
2024-09-13 15:08:13.825481 |    -113 | LG | S
2024-09-13 15:08:14.130165 |    -114 | LG | M
2024-09-13 15:08:14.430043 |    -117 | LG | M
2024-09-13 15:08:14.729975 |    -123 | LG | M
2024-09-13 15:08:15.029492 |    -127 | LG | M
2024-09-13 15:08:15.328197 |    -129 | LG | M
2024-09-13 15:08:15.629595 |    -131 | LG | M
2024-09-13 15:08:15.929235 |    -132 | LG | M
2024-09-13 15:08:16.228753 |    -133 | LG | M
2024-09-13 15:08:16.530719 |    -136 | LG | M
2024-09-13 15:08:16.830308 |    -139 | LG | M
2024-09-13 15:08:17.129929 |    -142 | LG | M
2024-09-13 15:08:17.429235 |    -145 | LG | M
2024-09-13 15:08:17.728780 |    -148 | LG | M
2024-09-13 15:08:18.031015 |    -151 | LG | M
2024-09-13 15:08:18.328922 |    -155 | LG | M
2024-09-13 15:08:18.629116 |    -159 | LG | M
2024-09-13 15:08:18.929124 |    -164 | LG | M
2024-09-13 15:08:19.229805 |    -169 | LG | M
2024-09-13 15:08:19.530724 |    -174 | LG | M
2024-09-13 15:08:19.830114 |    -179 | LG | M
2024-09-13 15:08:20.128954 |    -186 | LG | M
2024-09-13 15:08:20.430352 |    -193 | LG | M
2024-09-13 15:08:20.729872 |    -199 | LG | M
2024-09-13 15:08:21.029632 |    -205 | LG | M
2024-09-13 15:08:21.330901 |    -211 | LG | M
2024-09-13 15:08:21.630440 |    -216 | LG | M
2024-09-13 15:08:21.929967 |    -222 | LG | M
2024-09-13 15:08:22.229508 |    -228 | LG | M
2024-09-13 15:08:22.529246 |    -232 | LG | M
2024-09-13 15:08:22.829621 |    -237 | LG | M
2024-09-13 15:08:23.129800 |    -242 | LG | M
2024-09-13 15:08:23.431078 |    -247 | LG | M
2024-09-13 15:08:23.729936 |    -252 | LG | M
2024-09-13 15:08:24.029508 |    -257 | LG | M
2024-09-13 15:08:24.328920 |    -263 | LG | M
2024-09-13 15:08:24.630707 |    -269 | LG | M
2024-09-13 15:08:24.930258 |    -275 | LG | M
2024-09-13 15:08:25.230205 |    -281 | LG | M
2024-09-13 15:08:25.529828 |    -285 | LG | M
2024-09-13 15:08:25.829162 |    -288 | LG | M
2024-09-13 15:08:26.130957 |    -289 | LG | M
2024-09-13 15:08:26.430381 |    -289 | LG | M
2024-09-13 15:08:26.729924 |    -287 | LG | M
2024-09-13 15:08:27.029467 |    -274 | LG | M
2024-09-13 15:08:27.329411 |    -262 | LG | M
2024-09-13 15:08:27.631072 |    -259 | LG | M
2024-09-13 15:08:27.930561 |    -259 | LG | M
2024-09-13 15:08:28.230169 |    -259 | LG | S
2024-09-13 15:08:28.530079 |    -259 | LG | S
2024-09-13 15:08:28.829779 |    -259 | LG | S
2024-09-13 15:08:29.129454 |    -259 | LG | S
2024-09-13 15:08:29.431499 |    -259 | LG | S
2024-09-13 15:08:29.731384 |    -259 | LG | S
2024-09-13 15:08:30.031341 |    -259 | LG | S
2024-09-13 15:08:30.330990 |    -259 | LG | S
2024-09-13 15:08:30.630551 |    -261 | LG | M
2024-09-13 15:08:30.929836 |    -271 | LG | M
2024-09-13 15:08:31.229796 |    -275 | LG | M
2024-09-13 15:08:31.529992 |    -278 | LG | M
