time|weight|unit|flag
2024-09-13 16:44:44.826421 |       2 | LG | S
2024-09-13 16:44:45.127126 |       2 | LG | S
2024-09-13 16:44:45.426592 |       2 | LG | S
2024-09-13 16:44:45.726994 |       2 | LG | S
2024-09-13 16:44:46.026479 |       2 | LG | S
2024-09-13 16:44:46.327020 |       2 | LG | S
2024-09-13 16:44:46.626521 |       2 | LG | S
2024-09-13 16:44:46.926778 |       2 | LG | S
2024-09-13 16:44:47.226439 |       2 | LG | S
2024-09-13 16:44:47.526715 |       2 | LG | S
2024-09-13 16:44:47.826431 |       2 | LG | S
2024-09-13 16:44:48.126942 |       2 | LG | S
2024-09-13 16:44:48.426418 |       2 | LG | S
2024-09-13 16:44:48.725750 |       2 | LG | S
2024-09-13 16:44:49.026294 |       2 | LG | S
2024-09-13 16:44:49.325790 |       2 | LG | S
2024-09-13 16:44:49.626364 |       2 | LG | S
2024-09-13 16:44:49.925873 |       2 | LG | S
2024-09-13 16:44:50.226096 |       2 | LG | S
2024-09-13 16:44:50.525680 |       2 | LG | S
2024-09-13 16:44:50.826032 |       2 | LG | S
2024-09-13 16:44:51.129849 |       1 | LG | M
2024-09-13 16:44:51.429473 |       0 | LG | M
2024-09-13 16:44:51.729535 |      -2 | LG | M
2024-09-13 16:44:52.029294 |      -4 | LG | M
2024-09-13 16:44:52.329530 |     -22 | LG | M
2024-09-13 16:44:52.629912 |     -34 | LG | M
2024-09-13 16:44:52.929615 |     -37 | LG | M
2024-09-13 16:44:53.229114 |     -36 | LG | M
2024-09-13 16:44:53.528975 |     -35 | LG | M
2024-09-13 16:44:53.830175 |     -35 | LG | M
2024-09-13 16:44:54.129919 |     -35 | LG | S
2024-09-13 16:44:54.425710 |     -35 | LG | S
2024-09-13 16:44:54.724593 |     -35 | LG | M
2024-09-13 16:44:55.029120 |     -43 | LG | M
2024-09-13 16:44:55.329795 |     -50 | LG | M
2024-09-13 16:44:55.629750 |     -61 | LG | M
2024-09-13 16:44:55.929309 |     -73 | LG | M
2024-09-13 16:44:56.229524 |     -80 | LG | M
2024-09-13 16:44:56.528401 |     -86 | LG | M
2024-09-13 16:44:56.828844 |     -92 | LG | M
2024-09-13 16:44:57.128417 |     -97 | LG | M
2024-09-13 16:44:57.430062 |    -103 | LG | M
2024-09-13 16:44:57.729182 |    -108 | LG | M
